query_export_key	query_node_id	query_feature_id	query_featurelist_feature_id	query_scans	query_label	query_raw_name	hit_rank	hit_spectral_score	hit_matches	hit_precursor_mz	hit_raw_name	hit_CHARGE	hit_COLLISION_ENERGY	hit_FEATURELIST_FEATURE_ID	hit_FEATURE_ID	hit_FEATURE_MS1_HEIGHT	hit_FILENAME	hit_FRAGMENTATION_METHOD	hit_IONMODE	hit_ISOLATION_WINDOW	hit_MERGED_ACROSS_N_SAMPLES	hit_MSLEVEL	hit_NUM PEAKS	hit_PEPMASS	hit_RTINSECONDS	hit_SCANS	hit_SOURCE_SCAN_USI	hit_SPECTYPE
35	34	35	Aligned feature list peak gap-filled:35	35	n35	35	1	1.00000000	51	203.052900	35	1	[30.0]	Aligned feature list peak gap-filled:35	35	9.533E7	20260209_CVOL_mapp_02_24_T-Shock.mzML	HCD	POSITIVE	2.0	1	2	51	203.0529	25.37	35	["mzspec:DATASET_ID_PLACEHOLDER:20260209_CVOL_mapp_02_24_T-Shock:290"]	SINGLE_SCAN
35	34	35	Aligned feature list peak gap-filled:35	35	n35	35	2	0.77034657	12	203.070430	741		[30.0]	Aligned feature list peak gap-filled:741	741	1.063E7	20260209_CVOL_mapp_02_24_T-Shock.mzML	HCD	POSITIVE	2.0	1	2	49	203.07043	223.08	741	["mzspec:DATASET_ID_PLACEHOLDER:20260209_CVOL_mapp_02_24_T-Shock:2709"]	SINGLE_SCAN
36	35	36	Aligned feature list peak gap-filled:36	36	n36	36	1	1.00000000	84	234.097570	36	1	[30.0]	Aligned feature list peak gap-filled:36	36	2.355E7	20260209_CVOL_mapp_02_24_PF.mzML	HCD	POSITIVE	2.0	1	2	84	234.09757	25.34	36	["mzspec:DATASET_ID_PLACEHOLDER:20260209_CVOL_mapp_02_24_PF:296"]	SINGLE_SCAN
37	36	37	Aligned feature list peak gap-filled:37	37	n37	37	1	1.00000000	77	252.108100	37	1	[30.0]	Aligned feature list peak gap-filled:37	37	1.745E7	20260209_CVOL_mapp_02_24_Bio.mzML	HCD	POSITIVE	2.0	1	2	77	252.1081	25.34	37	["mzspec:DATASET_ID_PLACEHOLDER:20260209_CVOL_mapp_02_24_Bio:309"]	SINGLE_SCAN
38	37	38	Aligned feature list peak gap-filled:38	38	n38	38	1	1.00000000	73	305.134580	38	1	[30.0]	Aligned feature list peak gap-filled:38	38	2.1E7	20260209_CVOL_mapp_02_24_T-Shock.mzML	HCD	POSITIVE	2.0	1	2	73	305.13458	25.36	38	["mzspec:DATASET_ID_PLACEHOLDER:20260209_CVOL_mapp_02_24_T-Shock:297"]	SINGLE_SCAN
38	37	38	Aligned feature list peak gap-filled:38	38	n38	38	2	0.95564194	25	305.134320	95	1	[30.0]	Aligned feature list peak gap-filled:95	95	5.723E8	20260209_CVOL_mapp_02_24_T-Shock.mzML	HCD	POSITIVE	2.0	1	2	46	305.13432	31.06	95	["mzspec:DATASET_ID_PLACEHOLDER:20260209_CVOL_mapp_02_24_T-Shock:374"]	SINGLE_SCAN
39	38	39	Aligned feature list peak gap-filled:39	39	n39	39	1	1.00000000	47	180.086950	39	1	[30.0]	Aligned feature list peak gap-filled:39	39	4.734E7	20260209_CVOL_mapp_02_24_PF.mzML	HCD	POSITIVE	2.0	1	2	47	180.08695	25.66	39	["mzspec:DATASET_ID_PLACEHOLDER:20260209_CVOL_mapp_02_24_PF:302"]	SINGLE_SCAN
40	39	40	Aligned feature list peak gap-filled:40	40	n40	40	1	1.00000000	44	198.097570	40	1	[30.0]	Aligned feature list peak gap-filled:40	40	7.486E7	20260209_CVOL_mapp_02_24_PF.mzML	HCD	POSITIVE	2.0	1	2	44	198.09757	25.66	40	["mzspec:DATASET_ID_PLACEHOLDER:20260209_CVOL_mapp_02_24_PF:294"]	SINGLE_SCAN
41	40	41	Aligned feature list peak gap-filled:41	41	n41	41	1	1.00000000	64	266.123730	41	1	[30.0]	Aligned feature list peak gap-filled:41	41	2.658E8	20260209_CVOL_mapp_02_24_PF.mzML	HCD	POSITIVE	2.0	1	2	64	266.12373	25.66	41	["mzspec:DATASET_ID_PLACEHOLDER:20260209_CVOL_mapp_02_24_PF:292"]	SINGLE_SCAN
42	41	42	Aligned feature list peak gap-filled:42	42	n42	42	1	1.00000000	35	418.156140	42	1	[30.0]	Aligned feature list peak gap-filled:42	42	3.635E7	20260209_CVOL_mapp_02_24_PF.mzML	HCD	POSITIVE	2.0	1	2	35	418.15614	25.57	42	["mzspec:DATASET_ID_PLACEHOLDER:20260209_CVOL_mapp_02_24_PF:303"]	SINGLE_SCAN
43	42	43	Aligned feature list peak gap-filled:43	43	n43	43	1	1.00000000	76	248.113200	43	1	[30.0]	Aligned feature list peak gap-filled:43	43	1.201E8	20260209_CVOL_mapp_02_24_Bio.mzML	HCD	POSITIVE	2.0	1	2	76	248.1132	25.66	43	["mzspec:DATASET_ID_PLACEHOLDER:20260209_CVOL_mapp_02_24_Bio:294"]	SINGLE_SCAN
44	43	44	Aligned feature list peak gap-filled:44	44	n44	44	1	1.00000000	62	322.150020	44	1	[30.0]	Aligned feature list peak gap-filled:44	44	2.584E7	20260209_CVOL_mapp_02_24_PF.mzML	HCD	POSITIVE	2.0	1	2	62	322.15002	25.80	44	["mzspec:DATASET_ID_PLACEHOLDER:20260209_CVOL_mapp_02_24_PF:305"]	SINGLE_SCAN
45	44	45	Aligned feature list peak gap-filled:45	45	n45	45	1	1.00000000	38	243.134280	45	1	[30.0]	Aligned feature list peak gap-filled:45	45	3.484E7	20260209_CVOL_mapp_02_24_T-Shock.mzML	HCD	POSITIVE	2.0	1	2	38	243.13428	25.84	45	["mzspec:DATASET_ID_PLACEHOLDER:20260209_CVOL_mapp_02_24_T-Shock:299"]	SINGLE_SCAN
46	45	46	Aligned feature list peak gap-filled:46	46	n46	46	1	1.00000000	69	232.118230	46	1	[30.0]	Aligned feature list peak gap-filled:46	46	1.022E7	20260209_CVOL_mapp_02_24_Bio.mzML	HCD	POSITIVE	2.0	1	2	69	232.11823	27.56	46	["mzspec:DATASET_ID_PLACEHOLDER:20260209_CVOL_mapp_02_24_Bio:312"]	SINGLE_SCAN
47	46	47	Aligned feature list peak gap-filled:47	47	n47	47	1	1.00000000	47	187.108000	47	1	[30.0]	Aligned feature list peak gap-filled:47	47	2.262E7	20260209_CVOL_mapp_02_24_T-Shock.mzML	HCD	POSITIVE	2.0	1	2	47	187.108	26.31	47	["mzspec:DATASET_ID_PLACEHOLDER:20260209_CVOL_mapp_02_24_T-Shock:312"]	SINGLE_SCAN
47	46	47	Aligned feature list peak gap-filled:47	47	n47	47	2	0.88536691	8	187.123490	555	1	[30.0]	Aligned feature list peak gap-filled:555	555	1.77E7	20260209_CVOL_mapp_02_24_PF.mzML	HCD	POSITIVE	2.0	1	2	56	187.12349	168.90	555	["mzspec:DATASET_ID_PLACEHOLDER:20260209_CVOL_mapp_02_24_PF:2044"]	SINGLE_SCAN
48	47	48	Aligned feature list peak gap-filled:48	48	n48	48	1	1.00000000	57	233.113530	48	1	[30.0]	Aligned feature list peak gap-filled:48	48	2.003E7	20260209_CVOL_mapp_02_24_T-Shock.mzML	HCD	POSITIVE	2.0	1	2	57	233.11353	26.31	48	["mzspec:DATASET_ID_PLACEHOLDER:20260209_CVOL_mapp_02_24_T-Shock:314"]	SINGLE_SCAN
